x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89627.638759,43132.647327,0.0,0.0,0.0,0.8993163003890464,0.43729874440084837,5.354779
89625.79831,43134.991446,0.0,0.0,0.0,0.884378640802434,0.4667702000904078,5.148059
89624.116602,43137.452094,0.0,0.0,0.0,0.8828108001465772,0.46972874208904875,6.649209
89622.45123,43139.924215,0.0,0.0,0.0,0.8832206782164331,0.46895760316994956,7.618332
89620.781468,43142.393534,0.0,0.0,0.0,0.8858859723634132,0.4639030544949343,8.29284
89619.083777,43144.843347,0.0,0.0,0.0,0.8822525177995867,0.4707764807594894,8.33
89617.423903,43147.319977,0.0,0.0,0.0,0.8807825723810042,0.4735209184290605,8.33
89615.781101,43149.804446,0.0,0.0,0.0,0.8799118823653217,0.4751369058201187,8.33
89614.149438,43152.29187,0.0,0.0,0.0,0.8381655859163983,0.5454158510580901,7.682825
89613.0303419521,43154.8179883948,0.0,0.0,0.0,0.7496781758156547,0.6618025632359793,4.130085
89612.67956492517,43157.62420461018,0.0,0.0,0.0,0.6632000574793437,0.748442171286062,3.362759
89612.91341627645,43159.553478258254,0.0,0.0,0.0,0.5591112700105138,0.8290926291719342,3.433188
89614.02421019503,43162.30123163581,0.0,0.0,0.0,0.38268343236287855,0.9238795325122027,3.366983
89615.54424397837,43163.82126541913,0.0,0.0,0.0,0.26693358190051497,0.9637149282094581,3.028045
89616.42118654566,43164.34743095952,0.0,0.0,0.0,0.19294175778304445,0.9812102109658201,2.925172
89617.70736897772,43164.8735964999,0.0,0.0,0.0,-0.015146300779648033,0.9998852882069484,0.0
89619.63664262579,43164.81513366208,0.0,0.0,0.0,-0.03938179367760873,0.999224236258676,0.0
89621.85823046295,43164.63974514862,0.0,0.0,0.0,-0.11081290072032106,0.9938412856356634,4.41079
89623.67057843538,43164.23050528388,0.0,0.0,0.0,-0.2947648700189931,0.9555698150332534,3.919189
89624.95676086743,43163.35356271657,0.0,0.0,0.0,-0.3310069414326361,0.9436283191614225,4.289671
89626.12601762384,43162.41815731145,0.0,0.0,0.0,-0.4380021337527692,0.8989739322294175,0.0
89627.1783487046,43161.07351204158,0.0,0.0,0.0,-0.4885887545112706,0.8725141998644638,0.0
89628.2891426232,43159.26116406915,0.0,0.0,0.0,-0.586151498342927,0.8102014693829811,4.362044
89629.220708,43156.43299,0.0,0.0,0.0,-0.5972972472105024,0.8020199489256835,4.193658
89630.070892,43153.5896,0.0,0.0,0.0,-0.6150289834931013,0.788504501866313,6.590195
